Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Australia,A1,07/12/07,Sydney FC,Newcastle Jets,1,0
Australia,A1,07/12/07,Wellington Phoenix,Perth Glory,3,0
Australia,A1,08/12/07,Melbourne Victory,Adelaide United,2,2
Australia,A1,09/12/07,Brisbane Roar,Central Coast Mariners,2,1
Australia,A1,14/12/07,Adelaide United,Central Coast Mariners,1,2
Australia,A1,14/12/07,Wellington Phoenix,Brisbane Roar,1,1
Australia,A1,15/12/07,Sydney FC,Perth Glory,2,4
Australia,A1,16/12/07,Melbourne Victory,Newcastle Jets,1,3
Australia,A1,22/12/07,Central Coast Mariners,Sydney FC,4,5
Australia,A1,28/12/07,Adelaide United,Sydney FC,1,3
Australia,A1,30/12/07,Perth Glory,Brisbane Roar,1,4
Australia,A1,30/12/07,Newcastle Jets,Wellington Phoenix,2,3
Australia,A1,31/12/07,Central Coast Mariners,Melbourne Victory,2,5
Australia,A1,04/01/08,Newcastle Jets,Adelaide United,2,1
Australia,A1,04/01/08,Wellington Phoenix,Sydney FC,0,2
Australia,A1,05/01/08,Brisbane Roar,Melbourne Victory,1,2
Australia,A1,06/01/08,Perth Glory,Central Coast Mariners,1,1
Australia,A1,11/01/08,Melbourne Victory,Wellington Phoenix,3,0
Australia,A1,12/01/08,Central Coast Mariners,Newcastle Jets,1,2
Australia,A1,13/01/08,Perth Glory,Adelaide United,3,2
Australia,A1,13/01/08,Brisbane Roar,Sydney FC,0,0
Australia,A1,18/01/08,Newcastle Jets,Perth Glory,2,1
Australia,A1,19/01/08,Central Coast Mariners,Wellington Phoenix,2,0
Australia,A1,20/01/08,Adelaide United,Brisbane Roar,2,0
Australia,A1,20/01/08,Sydney FC,Melbourne Victory,2,2
Australia,A1,25/01/08,Sydney FC,Brisbane Roar,0,0
Australia,A1,27/01/08,Newcastle Jets,Central Coast Mariners,2,0
Australia,A1,08/02/08,Brisbane Roar ,Sydney FC,2,0
Australia,A1,10/02/08,Central Coast Mariners ,Newcastle Jets,2,0
Australia,A1,17/02/08,Newcastle Jets ,Brisbane Roar,3,2
Australia,A1,24/02/08,Central Coast Mariners,Newcastle Jets ,0,1
Australia,A1,15/08/08,Newcastle Jets,Central Coast Mariners,1,1
Australia,A1,16/08/08,Sydney FC,Melbourne Victory,0,0
Australia,A1,17/08/08,Adelaide United,Perth Glory,1,0
Australia,A1,17/08/08,Wellington Phoenix,Brisbane Roar,1,1
Australia,A1,22/08/08,Perth Glory,Newcastle Jets,3,3
Australia,A1,23/08/08,Central Coast Mariners,Sydney FC,2,3
Australia,A1,24/08/08,Brisbane Roar,Adelaide United,1,1
Australia,A1,24/08/08,Wellington Phoenix,Melbourne Victory,2,4
Australia,A1,29/08/08,Melbourne Victory,Newcastle Jets,5,0
Australia,A1,30/08/08,Adelaide United,Wellington Phoenix,3,0
Australia,A1,31/08/08,Brisbane Roar,Central Coast Mariners,2,4
Australia,A1,31/08/08,Sydney FC,Perth Glory,5,2
Australia,A1,12/09/08,Melbourne Victory,Adelaide United,1,0
Australia,A1,13/09/08,Newcastle Jets,Sydney FC,0,0
Australia,A1,14/09/08,Perth Glory,Brisbane Roar,0,3
Australia,A1,14/09/08,Wellington Phoenix,Central Coast Mariners,0,0
Australia,A1,19/09/08,Brisbane Roar,Newcastle Jets,0,1
Australia,A1,20/09/08,Central Coast Mariners,Melbourne Victory,2,2
Australia,A1,20/09/08,Sydney FC,Adelaide United,3,0
Australia,A1,21/09/08,Perth Glory,Wellington Phoenix,1,0
Australia,A1,26/09/08,Central Coast Mariners,Perth Glory,4,1
Australia,A1,27/09/08,Adelaide United,Newcastle Jets,2,0
