Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SaudiArabia,SPL,09/11/01,Al Ahli SC,Al Nasr Riyadh,2,1
SaudiArabia,SPL,09/11/01,Al Ansar,Al Najma,2,1
SaudiArabia,SPL,09/11/01,Al Shabab,Al Wehda,1,1
SaudiArabia,SPL,09/11/01,Al-Shoalah,Al-Hilal,0,0
SaudiArabia,SPL,14/11/01,Al Ahli SC,Al Taee,3,1
SaudiArabia,SPL,14/11/01,Al Nasr Riyadh,Al-Shoalah,2,0
SaudiArabia,SPL,14/11/01,Al Wehda,Al Riyadh,2,2
SaudiArabia,SPL,15/11/01,Al Shabab,Al-Ittihad FC,0,0
SaudiArabia,SPL,15/11/01,Al-Ettifaq,Al Ansar,1,1
SaudiArabia,SPL,19/11/01,Al Ahli SC,Al Wehda,1,1
SaudiArabia,SPL,19/11/01,Al Najma,Al Nasr Riyadh,0,3
SaudiArabia,SPL,19/11/01,Al Riyadh,Al Shabab,0,1
SaudiArabia,SPL,20/11/01,Al Taee,Al-Shoalah,0,1
SaudiArabia,SPL,20/11/01,Al-Hilal,Al-Ettifaq,3,0
SaudiArabia,SPL,20/11/01,Al-Ittihad FC,Al Ansar,5,2
SaudiArabia,SPL,24/11/01,Al Ahli SC,Al Shabab,2,1
SaudiArabia,SPL,24/11/01,Al Najma,Al Taee,2,1
SaudiArabia,SPL,25/11/01,Al Nasr Riyadh,Al-Ettifaq,2,2
SaudiArabia,SPL,25/11/01,Al-Shoalah,Al Wehda,1,0
SaudiArabia,SPL,30/11/01,Al Ansar,Al Nasr Riyadh,2,4
SaudiArabia,SPL,30/11/01,Al Najma,Al Wehda,1,1
SaudiArabia,SPL,30/11/01,Al Riyadh,Al-Ittihad FC,2,1
SaudiArabia,SPL,30/11/01,Al Shabab,Al-Shoalah,0,0
SaudiArabia,SPL,30/11/01,Al-Ettifaq,Al Taee,3,1
SaudiArabia,SPL,04/12/01,Al Shabab,Al Najma,2,3
SaudiArabia,SPL,04/12/01,Al Taee,Al Ansar,1,1
SaudiArabia,SPL,04/12/01,Al Wehda,Al-Ettifaq,1,2
SaudiArabia,SPL,05/12/01,Al-Hilal,Al Nasr Riyadh,0,0
SaudiArabia,SPL,12/12/01,Al-Ittihad FC,Al-Hilal,1,1
SaudiArabia,SPL,20/12/01,Al Ansar,Al Wehda,2,2
SaudiArabia,SPL,20/12/01,Al Riyadh,Al Najma,4,2
SaudiArabia,SPL,20/12/01,Al-Ettifaq,Al-Hilal,0,4
SaudiArabia,SPL,24/12/01,Al Riyadh,Al-Ettifaq,2,1
SaudiArabia,SPL,24/12/01,Al Taee,Al Nasr Riyadh,2,1
SaudiArabia,SPL,25/12/01,Al Ahli SC,Al Najma,5,2
SaudiArabia,SPL,25/12/01,Al Ansar,Al-Ittihad FC,1,2
SaudiArabia,SPL,28/12/01,Al Riyadh,Al Ansar,2,3
SaudiArabia,SPL,28/12/01,Al Taee,Al-Ittihad FC,2,1
SaudiArabia,SPL,29/12/01,Al Ahli SC,Al-Ettifaq,2,0
SaudiArabia,SPL,29/12/01,Al Najma,Al-Shoalah,0,0
SaudiArabia,SPL,29/12/01,Al Nasr Riyadh,Al Wehda,3,0
SaudiArabia,SPL,03/01/02,Al Wehda,Al Taee,0,1
SaudiArabia,SPL,04/01/02,Al Ahli SC,Al Ansar,3,1
SaudiArabia,SPL,04/01/02,Al-Ettifaq,Al-Shoalah,1,0
SaudiArabia,SPL,04/01/02,Al-Hilal,Al Riyadh,1,1
SaudiArabia,SPL,10/01/02,Al-Ittihad FC,Al-Ettifaq,1,0
SaudiArabia,SPL,10/01/02,Al Ansar,Al Shabab,0,1
SaudiArabia,SPL,10/01/02,Al-Hilal,Al Wehda,3,0
SaudiArabia,SPL,11/01/02,Al Najma,Al Ansar,2,0
SaudiArabia,SPL,11/01/02,Al Nasr Riyadh,Al Ahli SC,2,0
SaudiArabia,SPL,11/01/02,Al Taee,Al Riyadh,2,4
SaudiArabia,SPL,11/01/02,Al Wehda,Al Shabab,0,1
SaudiArabia,SPL,11/01/02,Al-Hilal,Al-Shoalah,2,0
SaudiArabia,SPL,11/01/02,Al-Ittihad FC,Al-Shoalah,2,0
SaudiArabia,SPL,14/01/02,Al Najma,Al-Ettifaq,2,0
SaudiArabia,SPL,14/01/02,Al Shabab,Al Taee,0,1
SaudiArabia,SPL,15/01/02,Al Riyadh,Al Nasr Riyadh,1,1
SaudiArabia,SPL,16/01/02,Al Ansar,Al-Shoalah,1,1
SaudiArabia,SPL,16/01/02,Al-Hilal,Al Ahli SC,2,0
SaudiArabia,SPL,16/01/02,Al-Ittihad FC,Al Wehda,3,0
SaudiArabia,SPL,22/01/02,Al Ansar,Al-Ettifaq,2,2
SaudiArabia,SPL,22/01/02,Al Najma,Al-Ittihad FC,2,3
SaudiArabia,SPL,22/01/02,Al Shabab,Al-Hilal,1,2
SaudiArabia,SPL,22/01/02,Al-Shoalah,Al Ahli SC,0,2
SaudiArabia,SPL,30/01/02,Al-Hilal,Al Najma,3,2
SaudiArabia,SPL,12/02/02,Al Taee,Al Ahli SC,0,0
SaudiArabia,SPL,12/02/02,Al-Hilal,Al Ansar,5,2
SaudiArabia,SPL,13/02/02,Al Riyadh,Al Wehda,3,1
SaudiArabia,SPL,13/02/02,Al-Ittihad FC,Al Shabab,3,2
SaudiArabia,SPL,13/02/02,Al-Shoalah,Al Nasr Riyadh,0,1
SaudiArabia,SPL,28/02/02,Al Shabab,Al Riyadh,1,1
SaudiArabia,SPL,01/03/02,Al Nasr Riyadh,Al Najma,4,1
SaudiArabia,SPL,01/03/02,Al Wehda,Al Ahli SC,1,2
SaudiArabia,SPL,01/03/02,Al-Shoalah,Al Taee,1,1
SaudiArabia,SPL,06/03/02,Al Shabab,Al Ahli SC,1,3
SaudiArabia,SPL,07/03/02,Al Taee,Al Najma,0,1
SaudiArabia,SPL,07/03/02,Al-Ittihad FC,Al Riyadh,10,3
SaudiArabia,SPL,08/03/02,Al Wehda,Al-Shoalah,2,0
SaudiArabia,SPL,08/03/02,Al-Ettifaq,Al Nasr Riyadh,0,1
SaudiArabia,SPL,14/03/02,Al Nasr Riyadh,Al Ansar,3,1
SaudiArabia,SPL,14/03/02,Al Taee,Al-Ettifaq,1,1
SaudiArabia,SPL,15/03/02,Al Wehda,Al Najma,4,4
SaudiArabia,SPL,16/03/02,Al-Shoalah,Al Shabab,1,4
SaudiArabia,SPL,17/03/02,Al-Hilal,Al-Ittihad FC,1,1
SaudiArabia,SPL,21/03/02,Al Ansar,Al Taee,0,7
SaudiArabia,SPL,21/03/02,Al Riyadh,Al-Shoalah,0,3
